City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Northam,GB,51.0333,-4.2167,49.01,88,91,9.91,overcast clouds
301,Lesnoye,RU,58.2841,35.5158,17.42,92,100,6.6,overcast clouds
302,Cabedelo,BR,-6.9811,-34.8339,83.07,74,46,8.75,scattered clouds
303,Susanville,US,40.4163,-120.653,43.81,51,0,3.0,clear sky
304,Aksarka,RU,66.5606,67.7975,-17.37,100,100,6.35,overcast clouds
305,Qobustan,AZ,40.0824,49.412,32.11,57,1,10.45,clear sky
306,Ibra,OM,22.6906,58.5334,65.86,58,5,3.78,clear sky
307,Kamina,CD,-8.7386,24.9906,64.53,98,100,4.0,moderate rain
308,Yenagoa,NG,4.9247,6.2642,77.29,56,10,4.25,clear sky
309,Egvekinot,RU,66.3167,-179.1667,-6.02,65,12,1.19,few clouds
310,General Roca,AR,-39.0333,-67.5833,95.4,10,0,18.48,clear sky
311,Sorland,NO,67.667,12.6934,32.68,77,100,16.4,light snow
312,Vallenar,CL,-28.5708,-70.7581,81.97,32,0,10.78,clear sky
313,Geraldton,AU,-28.7667,114.6,70.21,88,0,5.75,light rain
314,Bakchar,RU,57.0186,82.0711,-8.05,100,80,2.89,broken clouds
315,Zhuzhou,CN,27.8333,113.15,35.73,93,100,4.27,overcast clouds
316,Lumeje,AO,-11.55,20.7833,66.49,88,100,5.55,overcast clouds
317,Catuday,PH,16.2923,119.8062,78.12,81,70,12.46,broken clouds
318,Alofi,NU,-19.0595,-169.9187,80.49,89,88,5.75,overcast clouds
319,Mount Gambier,AU,-37.8333,140.7667,62.51,88,100,9.22,overcast clouds
320,Dinahican,PH,14.7167,121.7167,79.2,82,7,5.79,clear sky
321,Dunedin,NZ,-45.8742,170.5036,59.81,89,100,1.01,light rain
322,Bathsheba,BB,13.2167,-59.5167,81.21,81,40,18.41,scattered clouds
323,Lodwar,KE,3.1191,35.5973,87.06,31,6,9.6,clear sky
324,Dalianwan,CN,39.0286,121.695,15.84,67,0,6.71,clear sky
325,Aswan,EG,24.0934,32.907,53.28,39,0,11.14,clear sky
326,Yumen,CN,40.2833,97.2,14.58,60,0,5.5,clear sky
327,Magistralnyy,RU,56.1725,107.4458,-14.53,100,100,2.04,overcast clouds
328,San Cristobal,VE,7.7669,-72.225,80.78,38,6,8.88,clear sky
329,Port Keats,AU,-14.25,129.55,81.18,84,100,18.16,overcast clouds
330,Maniitsoq,GL,65.4167,-52.9,9.46,76,100,30.29,light snow
331,Nanortalik,GL,60.1432,-45.2371,19.49,68,100,12.15,light snow
332,El Cope,PA,8.6167,-80.6,83.66,56,7,11.95,clear sky
333,Gigmoto,PH,13.7796,124.39,78.55,87,32,8.05,scattered clouds
334,Magadi,IN,12.9667,77.2333,66.54,83,63,5.41,broken clouds
335,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,8.05,scattered clouds
336,San Jose De Sisa,PE,-6.6167,-76.6915,90.12,49,100,3.11,overcast clouds
337,Tezu,IN,27.9167,96.1667,50.54,52,0,4.12,clear sky
338,Nome,US,64.5011,-165.4064,-6.9,70,0,5.75,clear sky
339,Leshukonskoye,RU,64.8989,45.7622,14.22,93,100,7.7,overcast clouds
340,Westport,US,41.1415,-73.3579,19.26,87,100,8.99,light snow
341,Nybro,SE,56.7446,15.9071,45.25,64,100,25.75,light rain
342,Inongo,CD,-1.95,18.2667,77.23,56,99,3.22,overcast clouds
343,Lorengau,PG,-2.0226,147.2712,80.15,81,98,7.65,overcast clouds
344,Broome,US,42.2506,-75.833,13.69,57,0,4.0,clear sky
345,Hamilton,US,39.1834,-84.5333,27.21,58,100,3.0,overcast clouds
346,Ondarroa,ES,43.3167,-2.4167,45.54,86,0,4.52,clear sky
